id_transaccion,fecha_hora,hora,dia_semana,producto,monto,monto_promedio_usuario,saldo_anterior,saldo_posterior,destinatario_nuevo,hora_inusual,velocidad_operacion,llamada_reciente,cambio_dispositivo,edad,usuario_nuevo,dias_desde_registro,cantidad_operaciones_dia,operaciones_ultima_hora,alertas_ignoradas,distancia_operaciones,ubicacion_inusual,puntaje_riesgo,nivel_riesgo,fraude
36,2026-01-01 05:50:00,5,3,Compra,655.29,522.09,1485.77,830.48,0,0,25,0,0,22,0,2918,2,2,1,1.56,1,2,Bajo,0
37,2026-01-01 06:00:00,6,3,Yape,264.32,285.38,9875.25,9610.93,0,0,89,0,0,63,0,790,4,2,1,0.15,0,0,Bajo,0
38,2026-01-01 06:10:00,6,3,Yape,152.61,788.15,9433.45,9280.84,1,0,91,0,0,49,0,554,2,1,1,0.27,0,1,Bajo,0
39,2026-01-01 06:20:00,6,3,Compra,129.17,202.97,702.86,573.69,1,1,104,0,0,68,0,1384,2,1,3,0.74,0,3,Medio,0
40,2026-01-01 06:30:00,6,3,Pago de servicios,33.69,109.03,7897.89,7864.2,0,1,78,0,0,29,0,2610,7,0,0,0.7,0,1,Bajo,0
41,2026-01-01 06:40:00,6,3,Yape,783.97,774.96,3793.11,3009.14,0,0,5,0,0,70,0,1741,2,3,0,5.89,0,1,Bajo,0
42,2026-01-01 06:50:00,6,3,Pago de servicios,699.88,400.39,8075.77,7375.89,0,0,39,0,1,62,0,1548,5,2,1,5.78,0,2,Bajo,0
43,2026-01-01 07:00:00,7,3,Yape,4570.46,251.56,4570.46,0.0,1,0,45,0,0,34,0,2570,5,2,0,12.22,0,6,Alto,1
44,2026-01-01 07:10:00,7,3,Transferencia,175.1,778.6,6250.71,6075.61,0,1,128,0,0,27,0,376,2,0,0,3.43,0,1,Bajo,0
45,2026-01-01 07:20:00,7,3,Yape,125.61,874.25,7176.87,7051.26,1,0,108,0,0,73,0,2615,3,3,0,13.78,0,2,Bajo,0
46,2026-01-01 07:30:00,7,3,Compra,44.64,150.22,8470.12,8425.48,0,0,11,0,0,48,0,909,1,2,2,17.21,0,3,Medio,0
47,2026-01-01 07:40:00,7,3,Yape,639.04,444.2,8888.48,8249.44,1,0,66,1,0,29,0,1502,0,1,1,4.11,0,2,Bajo,0
48,2026-01-01 07:50:00,7,3,Pago de servicios,507.67,72.57,507.67,0.0,0,0,114,0,0,73,0,145,3,0,0,1.01,0,2,Bajo,0
49,2026-01-01 08:00:00,8,3,Pago de servicios,1154.91,836.27,7477.06,6322.15,0,1,177,1,0,58,0,423,3,0,0,0.26,0,3,Medio,0
50,2026-01-01 08:10:00,8,3,Yape,97.84,57.8,1481.65,1383.81,0,0,35,0,0,66,0,1076,3,2,0,1.47,0,0,Bajo,0
51,2026-01-01 08:20:00,8,3,Transferencia,500.88,420.99,5357.87,4856.99,1,0,71,0,1,70,0,2697,6,1,0,3.21,0,3,Medio,0
52,2026-01-01 08:30:00,8,3,Compra,145.18,907.61,3725.0,3579.82,1,1,57,0,0,22,0,1107,3,2,0,3.06,0,2,Bajo,0
53,2026-01-01 08:40:00,8,3,Transferencia,937.97,604.2,2256.07,1318.1,1,0,141,0,0,42,0,2431,2,0,0,0.57,0,1,Bajo,0
54,2026-01-01 08:50:00,8,3,Transferencia,418.31,812.7,3044.87,2626.56,1,1,152,0,0,23,0,706,1,0,0,2.54,0,3,Medio,0
55,2026-01-01 09:00:00,9,3,Recarga,51.64,178.22,2623.37,2571.73,0,1,140,0,0,71,0,1551,5,3,1,14.01,0,2,Bajo,0
56,2026-01-01 09:10:00,9,3,Transferencia,214.61,158.95,2283.8,2069.19,0,0,103,0,0,21,0,1334,3,0,0,4.64,0,0,Bajo,0
57,2026-01-01 09:20:00,9,3,Yape,34.88,386.67,6519.08,6484.2,0,0,150,0,0,48,0,492,5,1,0,0.43,0,0,Bajo,0
58,2026-01-01 09:30:00,9,3,Yape,76.46,689.46,3471.42,3394.96,0,1,73,0,0,20,0,1763,1,1,0,22.8,0,2,Bajo,0
59,2026-01-01 09:40:00,9,3,Yape,81.22,205.16,8942.45,8861.23,0,1,58,0,0,79,0,1852,5,3,1,15.57,0,2,Bajo,0
60,2026-01-01 09:50:00,9,3,Yape,128.9,112.27,5411.98,5283.08,0,0,167,0,0,61,0,2244,1,1,0,3.84,0,1,Bajo,0
61,2026-01-01 10:00:00,10,3,Yape,188.16,977.04,5192.45,5004.29,0,0,123,0,0,35,0,2772,3,0,0,6.32,0,0,Bajo,0
62,2026-01-01 10:10:00,10,3,Yape,288.47,326.24,9243.59,8955.12,0,0,89,0,0,54,0,1496,3,0,0,5.42,0,0,Bajo,0
63,2026-01-01 10:20:00,10,3,Compra,274.39,643.18,8780.89,8506.5,0,0,69,0,0,36,0,2345,3,1,0,10.06,0,1,Bajo,0
64,2026-01-01 10:30:00,10,3,Yape,238.92,676.57,304.99,66.07,0,0,162,0,0,40,0,1946,5,0,0,8.9,0,1,Bajo,0
65,2026-01-01 10:40:00,10,3,Yape,341.17,86.71,6095.21,5754.04,0,0,100,1,0,19,0,2532,6,3,0,0.14,0,3,Medio,0
66,2026-01-01 10:50:00,10,3,Pago de servicios,70.12,587.61,6078.75,6008.63,0,1,8,0,0,21,0,1280,5,0,0,10.56,0,3,Medio,0
67,2026-01-01 11:00:00,11,3,Yape,263.27,240.29,9244.88,8981.61,1,0,156,0,0,31,0,250,4,1,0,18.87,0,3,Medio,0
68,2026-01-01 11:10:00,11,3,Compra,1027.06,135.38,7139.27,6112.21,1,0,92,0,0,70,0,1894,7,1,0,2.36,0,3,Medio,0
69,2026-01-01 11:20:00,11,3,Yape,207.31,427.06,4486.3,4278.99,0,1,175,0,0,44,0,2349,6,0,1,10.6,0,3,Medio,0
70,2026-01-01 11:30:00,11,3,Transferencia,401.29,803.2,559.01,157.72,1,1,166,0,0,64,0,2015,4,1,0,0.07,0,3,Medio,0
71,2026-01-01 11:40:00,11,3,Compra,365.63,970.6,876.22,510.59,0,0,97,0,0,72,0,1505,2,2,0,0.73,0,0,Bajo,0
72,2026-01-01 11:50:00,11,3,Yape,579.56,520.3,4671.93,4092.37,0,0,112,0,0,26,0,1253,2,1,0,8.33,0,0,Bajo,0
73,2026-01-01 12:00:00,12,3,Yape,326.08,893.11,9835.57,9509.49,0,0,9,0,0,79,0,219,7,2,0,5.68,0,1,Bajo,0
74,2026-01-01 12:10:00,12,3,Compra,569.85,947.93,9913.53,9343.68,0,1,168,0,0,78,0,1452,4,0,0,1.55,0,2,Bajo,0
75,2026-01-01 12:20:00,12,3,Compra,406.38,470.79,4784.82,4378.44,0,0,63,0,0,36,0,2437,6,2,0,10.54,0,1,Bajo,0
76,2026-01-01 12:30:00,12,3,Compra,472.14,188.09,8842.38,8370.24,1,0,51,0,0,36,0,2282,2,0,0,0.46,0,1,Bajo,0
77,2026-01-01 12:40:00,12,3,Compra,380.74,344.6,2141.21,1760.47,0,0,131,0,0,18,0,849,6,0,0,3.7,0,0,Bajo,0
78,2026-01-01 12:50:00,12,3,Yape,89.41,418.16,3147.99,3058.58,1,0,103,0,0,44,0,105,5,0,1,10.14,0,2,Bajo,0
79,2026-01-01 13:00:00,13,3,Yape,75.89,481.8,3831.31,3755.42,0,0,165,0,0,43,0,1572,6,3,0,1.22,0,1,Bajo,0
80,2026-01-01 13:10:00,13,3,Yape,171.88,662.43,6996.31,6824.43,1,0,19,0,0,64,0,1002,1,1,0,0.43,0,2,Bajo,0
81,2026-01-01 13:20:00,13,3,Transferencia,1154.75,662.94,8246.52,7091.77,0,0,16,0,0,56,0,939,5,1,0,0.35,0,1,Bajo,0
82,2026-01-01 13:30:00,13,3,Recarga,206.1,566.09,3932.68,3726.58,0,0,147,0,0,70,1,1498,4,2,0,9.24,0,1,Bajo,0
83,2026-01-01 13:40:00,13,3,Yape,333.47,266.89,4670.13,4336.66,0,0,171,0,0,24,0,2893,4,1,1,2.38,0,1,Bajo,0
84,2026-01-01 13:50:00,13,3,Yape,34.22,395.29,763.0,728.78,1,0,137,1,0,75,0,51,6,0,1,4.06,0,2,Bajo,0
85,2026-01-01 14:00:00,14,3,Yape,297.0,442.77,2798.14,2501.14,0,0,36,0,0,56,0,1660,6,1,0,5.88,1,2,Bajo,0
86,2026-01-01 14:10:00,14,3,Yape,266.64,680.54,8052.12,7785.48,0,1,18,1,0,30,0,1695,3,0,0,0.01,0,3,Medio,0
87,2026-01-01 14:20:00,14,3,Compra,16.89,184.39,434.5,417.61,0,0,150,0,0,69,0,2675,5,0,0,3.93,0,0,Bajo,0
88,2026-01-01 14:30:00,14,3,Recarga,327.3,279.56,7557.22,7229.92,0,0,34,0,0,23,0,2049,3,0,1,32.0,1,3,Medio,0
89,2026-01-01 14:40:00,14,3,Transferencia,46.95,319.67,5083.32,5036.37,0,0,5,1,0,80,0,1128,6,1,0,9.78,0,2,Bajo,0
90,2026-01-01 14:50:00,14,3,Pago de servicios,118.47,542.45,2720.85,2602.38,1,0,106,0,0,66,0,1085,3,1,0,0.91,0,1,Bajo,0
91,2026-01-01 15:00:00,15,3,Yape,661.47,769.62,4688.48,4027.01,1,0,170,0,0,54,0,1617,5,1,0,5.84,0,2,Bajo,0
92,2026-01-01 15:10:00,15,3,Compra,286.42,852.13,4520.3,4233.88,0,1,102,0,0,19,0,1756,0,0,0,0.63,1,3,Medio,0
93,2026-01-01 15:20:00,15,3,Compra,156.26,755.23,9757.18,9600.92,0,0,165,0,0,79,0,2265,4,3,1,1.89,0,1,Bajo,0
94,2026-01-01 15:30:00,15,3,Recarga,143.44,760.76,7039.21,6895.77,0,0,175,0,1,36,0,1931,2,1,1,3.24,0,3,Medio,0
95,2026-01-01 15:40:00,15,3,Compra,161.1,278.81,4140.78,3979.68,1,0,59,1,0,30,0,1814,6,1,0,3.67,0,2,Bajo,0
96,2026-01-01 15:50:00,15,3,Pago de servicios,287.4,890.57,9343.09,9055.69,0,0,53,0,0,79,0,942,3,1,1,0.14,0,0,Bajo,0
97,2026-01-01 16:00:00,16,3,Pago de servicios,73.65,99.94,9194.85,9121.2,1,0,179,0,0,66,0,303,4,1,0,6.43,0,2,Bajo,0
98,2026-01-01 16:10:00,16,3,Pago de servicios,753.27,563.23,5123.26,4369.99,0,0,25,0,0,52,0,1753,3,1,1,8.68,0,0,Bajo,0
99,2026-01-01 16:20:00,16,3,Yape,77.67,134.01,9386.86,9309.19,1,0,21,0,0,29,0,2069,7,3,0,20.52,0,2,Bajo,0
100,2026-01-01 16:30:00,16,3,Yape,43.51,620.83,6153.04,6109.53,0,0,88,0,0,75,0,2933,2,2,0,0.12,0,0,Bajo,0
101,2026-01-01 16:40:00,16,3,Yape,659.28,94.93,7287.6,6628.32,1,0,25,0,0,47,0,2877,3,0,0,3.04,1,5,Alto,1
102,2026-01-01 16:50:00,16,3,Recarga,158.08,658.86,4674.11,4516.03,0,0,13,1,0,64,0,2540,3,0,0,4.18,0,2,Bajo,0
103,2026-01-01 17:00:00,17,3,Yape,262.55,82.0,6250.54,5987.99,0,0,7,0,0,18,0,2563,4,4,0,5.56,0,3,Medio,0
104,2026-01-01 17:10:00,17,3,Pago de servicios,470.89,206.86,3943.57,3472.68,1,0,178,0,0,30,0,352,3,2,0,1.32,0,2,Bajo,0
105,2026-01-01 17:20:00,17,3,Transferencia,119.17,765.71,1575.97,1456.8,0,1,115,0,0,29,0,1183,5,1,0,12.04,1,4,Medio,0
106,2026-01-01 17:30:00,17,3,Yape,280.66,337.62,3568.31,3287.65,0,1,46,0,0,39,0,640,5,1,0,0.55,0,1,Bajo,0
107,2026-01-01 17:40:00,17,3,Pago de servicios,467.88,889.92,3940.37,3472.49,1,1,14,0,0,56,0,2878,4,0,1,12.2,0,4,Medio,0
108,2026-01-01 17:50:00,17,3,Compra,1265.52,143.22,7752.38,6486.86,1,0,64,0,0,18,0,2716,3,0,1,3.72,0,3,Medio,0
109,2026-01-01 18:00:00,18,3,Yape,146.78,554.02,4028.08,3881.3,1,0,98,0,0,69,0,2156,8,1,0,1.45,0,1,Bajo,0
110,2026-01-01 18:10:00,18,3,Yape,154.02,929.51,4743.79,4589.77,0,0,10,0,0,38,0,2189,10,0,0,11.69,0,2,Bajo,0
111,2026-01-01 18:20:00,18,3,Yape,429.8,442.49,7608.17,7178.37,0,0,174,0,0,58,0,2310,4,0,1,2.39,0,1,Bajo,0
112,2026-01-01 18:30:00,18,3,Yape,301.45,361.39,5364.33,5062.88,0,0,124,0,0,42,0,2326,2,0,0,2.14,0,0,Bajo,0
113,2026-01-01 18:40:00,18,3,Transferencia,213.36,967.68,3456.11,3242.75,0,0,17,0,0,76,0,1586,6,3,0,2.66,0,1,Bajo,0
114,2026-01-01 18:50:00,18,3,Compra,1203.14,452.99,1203.14,0.0,0,0,173,0,0,66,0,2277,4,0,3,0.07,0,2,Bajo,0
115,2026-01-01 19:00:00,19,3,Recarga,45.49,713.9,7469.48,7423.99,0,0,24,1,0,34,0,1565,3,3,0,4.3,0,1,Bajo,0
116,2026-01-01 19:10:00,19,3,Transferencia,59.04,923.94,9215.47,9156.43,0,0,97,0,1,25,0,2915,3,0,0,3.15,0,2,Bajo,0
117,2026-01-01 19:20:00,19,3,Compra,46.02,60.23,74.34,28.32,0,0,50,0,0,74,0,1730,7,1,0,1.72,0,0,Bajo,0
118,2026-01-01 19:30:00,19,3,Yape,813.77,590.89,6675.89,5862.12,1,0,81,0,0,48,0,1123,2,0,1,5.85,0,1,Bajo,0
119,2026-01-01 19:40:00,19,3,Transferencia,409.41,727.77,5139.72,4730.31,1,0,130,0,0,33,0,786,2,1,2,2.66,0,2,Bajo,0
120,2026-01-01 19:50:00,19,3,Pago de servicios,62.13,448.04,8302.3,8240.17,1,0,12,1,0,18,0,2559,4,0,0,2.28,0,3,Medio,0
121,2026-01-01 20:00:00,20,3,Compra,216.36,689.29,1689.63,1473.27,0,0,180,0,0,32,0,1685,2,0,0,1.1,0,1,Bajo,0
122,2026-01-01 20:10:00,20,3,Transferencia,238.01,816.1,3542.25,3304.24,1,0,116,0,0,26,0,1085,7,0,0,4.68,0,1,Bajo,0
123,2026-01-01 20:20:00,20,3,Yape,26.86,349.81,958.43,931.57,0,0,64,0,0,62,0,2970,5,1,0,3.33,0,0,Bajo,0
124,2026-01-01 20:30:00,20,3,Yape,295.38,356.97,2727.15,2431.77,0,0,61,0,0,59,0,2276,1,0,0,2.0,0,0,Bajo,0
125,2026-01-01 20:40:00,20,3,Yape,75.37,133.38,4808.57,4733.2,0,0,170,0,0,20,0,13,5,0,0,1.21,0,1,Bajo,0
126,2026-01-01 20:50:00,20,3,Pago de servicios,496.05,957.27,9184.28,8688.23,0,0,81,0,0,29,0,2504,2,0,0,1.32,0,0,Bajo,0
127,2026-01-01 21:00:00,21,3,Compra,77.72,81.29,2099.92,2022.2,1,0,101,1,1,24,0,1059,6,1,1,2.41,0,4,Medio,0
128,2026-01-01 21:10:00,21,3,Transferencia,304.65,497.19,6906.69,6602.04,0,0,7,0,0,64,0,2547,2,3,0,9.13,0,1,Bajo,0
129,2026-01-01 21:20:00,21,3,Yape,892.99,556.21,7078.78,6185.79,0,0,174,0,0,53,0,2298,5,0,0,1.41,0,1,Bajo,0
130,2026-01-01 21:30:00,21,3,Pago de servicios,648.43,184.01,1219.02,570.59,0,0,44,0,0,56,0,399,2,0,0,1.65,0,2,Bajo,0
131,2026-01-01 21:40:00,21,3,Pago de servicios,406.33,515.55,9753.79,9347.46,0,0,70,1,0,50,0,2690,5,2,0,20.18,0,2,Bajo,0
132,2026-01-01 21:50:00,21,3,Yape,225.58,330.0,1727.77,1502.19,0,0,121,0,0,58,0,2718,4,2,0,14.53,0,1,Bajo,0
133,2026-01-01 22:00:00,22,3,Yape,54.59,812.43,583.14,528.55,0,0,167,0,0,43,0,2731,3,0,1,2.07,0,1,Bajo,0
134,2026-01-01 22:10:00,22,3,Yape,157.73,831.97,9676.51,9518.78,0,0,81,0,0,63,0,2601,6,2,0,0.32,0,0,Bajo,0
135,2026-01-01 22:20:00,22,3,Transferencia,195.19,461.14,3774.82,3579.63,0,1,113,0,0,45,0,2450,2,3,0,1.61,0,1,Bajo,0
136,2026-01-01 22:30:00,22,3,Yape,181.67,462.77,2887.87,2706.2,0,0,173,0,0,41,0,532,4,0,0,2.66,0,1,Bajo,0
137,2026-01-01 22:40:00,22,3,Pago de servicios,52.8,122.1,2931.55,2878.75,1,0,31,0,0,49,0,914,2,2,0,0.19,0,1,Bajo,0
138,2026-01-01 22:50:00,22,3,Compra,377.83,389.29,377.83,0.0,1,0,40,0,0,65,0,2229,2,1,0,0.43,0,1,Bajo,0
139,2026-01-01 23:00:00,23,3,Yape,75.12,435.34,6723.39,6648.27,1,0,87,0,0,78,0,1268,3,0,0,2.46,0,1,Bajo,0
140,2026-01-01 23:10:00,23,3,Transferencia,1148.38,474.3,7617.21,6468.83,0,0,145,0,0,72,0,92,2,1,1,12.7,0,1,Bajo,0
141,2026-01-01 23:20:00,23,3,Transferencia,283.73,480.26,4454.99,4171.26,0,1,69,0,0,33,0,2872,1,2,0,1.91,0,1,Bajo,0
142,2026-01-01 23:30:00,23,3,Yape,651.49,137.57,2159.03,1507.54,0,0,52,0,0,79,0,2128,1,0,0,6.15,0,2,Bajo,0
143,2026-01-01 23:40:00,23,3,Pago de servicios,638.16,204.94,4521.62,3883.46,1,0,167,0,0,22,0,2698,4,3,1,0.25,0,4,Medio,0
144,2026-01-01 23:50:00,23,3,Yape,1954.58,462.18,9420.48,7465.9,0,0,83,0,0,50,1,2914,6,1,0,2.48,0,5,Alto,1
145,2026-01-02 00:00:00,0,4,Yape,293.5,409.46,1631.26,1337.76,1,0,44,0,0,36,0,1892,3,0,0,4.38,0,1,Bajo,0
146,2026-01-02 00:10:00,0,4,Yape,165.66,185.29,692.47,526.81,0,0,120,0,0,64,0,2930,7,0,0,0.26,0,0,Bajo,0
147,2026-01-02 00:20:00,0,4,Recarga,168.88,666.23,3586.01,3417.13,0,0,82,0,0,64,0,1949,3,0,0,5.86,0,0,Bajo,0
148,2026-01-02 00:30:00,0,4,Pago de servicios,1092.37,161.76,9065.09,7972.72,0,1,128,0,0,66,0,1851,3,1,0,16.25,0,4,Medio,0
149,2026-01-02 00:40:00,0,4,Yape,65.35,54.92,3719.52,3654.17,0,0,153,0,0,42,0,2434,5,0,0,6.99,0,1,Bajo,0
150,2026-01-02 00:50:00,0,4,Yape,101.68,631.98,7239.21,7137.53,0,0,75,0,0,74,0,2980,4,1,1,5.06,0,0,Bajo,0
151,2026-01-02 01:00:00,1,4,Transferencia,310.13,128.62,396.43,86.3,0,0,59,0,0,73,0,1976,4,3,0,5.71,0,0,Bajo,0
152,2026-01-02 01:10:00,1,4,Yape,210.02,107.43,3399.3,3189.28,0,0,86,0,0,59,0,52,3,0,1,2.12,0,0,Bajo,0
153,2026-01-02 01:20:00,1,4,Yape,643.97,131.47,5865.01,5221.04,0,0,49,1,0,61,0,595,6,1,0,0.73,0,3,Medio,0
154,2026-01-02 01:30:00,1,4,Pago de servicios,64.16,939.53,5185.49,5121.33,0,0,56,0,0,31,0,2230,3,1,1,8.58,0,0,Bajo,0
155,2026-01-02 01:40:00,1,4,Transferencia,228.85,150.1,5536.83,5307.98,0,0,13,0,0,19,0,591,5,3,0,2.36,0,1,Bajo,0
156,2026-01-02 01:50:00,1,4,Yape,202.96,847.08,4243.46,4040.5,1,0,60,0,0,71,0,326,2,1,0,6.7,0,1,Bajo,0
157,2026-01-02 02:00:00,2,4,Compra,83.74,787.76,6152.93,6069.19,0,0,72,0,0,76,0,484,3,0,1,5.43,0,0,Bajo,0
158,2026-01-02 02:10:00,2,4,Compra,589.14,849.15,8267.75,7678.61,0,0,180,0,1,37,0,2776,5,0,2,11.74,0,5,Alto,1
159,2026-01-02 02:20:00,2,4,Yape,223.23,624.93,828.62,605.39,0,0,44,0,0,31,0,413,2,1,0,1.88,0,0,Bajo,0
160,2026-01-02 02:30:00,2,4,Compra,213.99,197.36,3895.8,3681.81,1,0,48,0,0,20,0,2627,2,2,0,13.36,0,2,Bajo,0
161,2026-01-02 02:40:00,2,4,Yape,107.26,782.36,7220.42,7113.16,0,1,8,0,0,61,0,2162,4,0,0,0.09,0,2,Bajo,0
162,2026-01-02 02:50:00,2,4,Recarga,169.04,587.19,7913.07,7744.03,0,0,101,0,1,37,0,586,6,1,2,0.25,0,3,Medio,0
163,2026-01-02 03:00:00,3,4,Recarga,88.09,589.91,6238.72,6150.63,0,1,24,1,1,48,0,590,3,0,0,5.9,0,4,Medio,0
164,2026-01-02 03:10:00,3,4,Pago de servicios,580.43,628.33,3941.48,3361.05,1,0,157,0,0,32,0,762,3,0,1,0.2,0,2,Bajo,0
165,2026-01-02 03:20:00,3,4,Yape,687.33,190.93,2658.64,1971.31,0,0,50,1,0,59,0,1036,4,1,1,10.24,0,4,Medio,0
166,2026-01-02 03:30:00,3,4,Compra,1312.99,326.89,4942.21,3629.22,0,0,68,0,0,36,1,1920,3,0,0,3.31,0,3,Medio,0
167,2026-01-02 03:40:00,3,4,Yape,377.68,993.82,3459.14,3081.46,1,0,76,0,1,66,0,1955,7,0,0,7.72,0,3,Medio,0
168,2026-01-02 03:50:00,3,4,Yape,174.3,879.8,6756.3,6582.0,0,1,83,1,0,71,0,591,6,2,0,1.27,0,2,Bajo,0
169,2026-01-02 04:00:00,4,4,Yape,153.09,391.27,7145.99,6992.9,0,0,28,0,1,63,0,1158,5,3,0,2.74,0,2,Bajo,0
170,2026-01-02 04:10:00,4,4,Recarga,399.67,987.21,5310.31,4910.64,1,1,106,0,0,59,0,463,2,0,0,8.38,0,2,Bajo,0
171,2026-01-02 04:20:00,4,4,Compra,299.13,116.16,8076.35,7777.22,1,0,105,0,0,80,0,605,5,0,0,6.48,0,1,Bajo,0
